,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MACD,signal,Buy_Signal_Price,Sell_Signal_Price
86,2021-09-16,2468.8,2479.45,2417.0,2428.9,2435.383455407152,6963,930,16957575.0,2030.0,29.15,62.45,-39.9,20.44729765577995,2.337420056800931,,
87,2021-09-15,2449.85,2479.5,2444.8,2462.95,2463.318389461383,9413,743,23187216.0,3582.0,38.05,34.7,13.1,28.802797961085616,7.6304956376578685,,
88,2021-09-14,2461.3,2472.55,2436.9,2441.8,2447.424906671772,10447,818,25568248.0,6868.0,65.74,35.65,-19.5,33.333713608135895,12.771139231753475,,
89,2021-09-13,2450.05,2478.8,2420.95,2467.6,2458.556654081196,25691,1955,63162779.0,11959.0,46.55,57.85,17.55,38.56182457254181,17.929276299911145,,
90,2021-09-09,2422.9,2462.0,2422.9,2459.0,2450.3654757564714,5486,533,13442705.0,1211.0,22.07,39.1,36.1,41.53243202815793,22.6499074455605,,
91,2021-09-08,2460.65,2487.4,2432.0,2447.5,2454.0994852822905,12434,1584,30514273.0,4547.0,36.57,55.4,-13.15,42.46914804577045,26.613755565602492,,
92,2021-09-07,2472.5,2493.0,2444.5,2484.0,2469.392906115733,10939,1553,27012689.0,3975.0,36.34,48.5,11.5,45.63074437813566,30.41715332810913,,
93,2021-09-06,2491.95,2506.35,2470.0,2475.1,2485.61723644174,11174,1221,27774287.0,2898.0,25.94,36.35,-16.85,46.8777985487568,33.70928237223866,,
94,2021-09-03,2475.35,2484.15,2436.95,2468.2,2458.8526997263566,14983,1947,36840990.0,4248.0,28.35,47.2,-7.15,46.77018801521217,36.32146350083337,,
95,2021-09-02,2420.0,2496.0,2414.45,2475.35,2460.73834328842,21597,2675,53144566.0,8476.0,39.25,81.55,55.35,46.7232545428883,38.40182170924436,,
96,2021-09-01,2420.0,2431.55,2393.75,2423.3,2415.968766366709,42006,3424,101485184.0,29499.0,70.23,37.8,3.3,42.00188781052202,39.12183492949989,,
97,2021-08-31,2389.0,2419.2,2368.3,2413.05,2397.634440842788,24680,2316,59173618.0,11567.0,46.87,50.9,24.05,37.006493500998204,38.69876664379955,,2413.05
98,2021-08-30,2349.15,2390.55,2349.15,2387.35,2377.4897354079008,35413,2860,84194044.0,18675.0,52.73,41.4,38.2,30.620854158767088,37.08318414679306,,
99,2021-08-27,2288.95,2353.8,2268.4,2349.15,2330.799655073297,17395,1716,40544260.0,5682.0,32.66,85.4,60.2,22.22161132187648,34.110869581809744,,
100,2021-08-26,2286.95,2286.95,2258.5,2274.05,2269.858557686835,17569,1367,39879145.0,9390.0,53.45,28.45,-12.9,9.396887032895393,29.168073072026875,,
101,2021-08-25,2280.0,2302.65,2256.0,2270.15,2273.591756272401,11160,878,25373284.0,4143.0,37.12,46.65,-9.85,-1.0691720200998134,23.12062405360154,,
102,2021-08-24,2273.65,2292.05,2258.0,2280.75,2272.309690581435,14705,1292,33414314.0,4701.0,31.97,34.05,7.1,-8.41130749443937,16.814237743993356,,
103,2021-08-23,2327.0,2327.0,2231.35,2261.65,2275.5797457060003,8966,1125,20402848.0,1467.0,16.36,95.65,-65.35,-15.591484205167944,10.333093354161097,,
